d,test_loss_orig,test_loss_cp
0,0.020444519817829132,0.021031076088547707
10,0.005149367265403271,0.005567224230617285
20,0.005175540689378977,0.005613688379526138
30,0.005090943071991205,0.005588491912931204
40,0.004999035038053989,0.005567371845245361
50,0.004933121148496866,0.00553622143343091
60,0.0048426114954054356,0.005516221281141043
70,0.004745631944388151,0.005476942285895348
80,0.00470474548637867,0.005442576948553324
90,0.004873361438512802,0.005529920104891062
100,0.004992210306227207,0.005539261270314455
110,0.004397816956043243,0.004906684625893831
120,0.003848167136311531,0.004373581148684025
130,0.003457162529230118,0.003976813517510891
140,0.0031502055935561657,0.0036995236296206713
150,0.0029287810903042555,0.0035320608876645565
160,0.002772496547549963,0.0033908551558852196
170,0.0026407623663544655,0.003262947779148817
180,0.002535556210204959,0.003161329310387373
190,0.0024865735322237015,0.0031117810867726803
200,0.002478324342519045,0.0031048983801156282
