epoch,train_loss_orig,test_loss_orig,train_loss_cp,test_loss_cp,train_loss_naive,test_loss_naive
0,0.25549033969640733,0.25333652839064597,0.2480140309035778,0.24605586051940917,0.2887235550582409,0.28634379848837854
1,0.20795452520251273,0.15958718910813333,0.19978345558047295,0.15562037140130996,0.193876650929451,0.146679775044322
2,0.11138328760862351,0.0907638081908226,0.109005868434906,0.0900110176950693,0.1440402999520302,0.11837320983409881
3,0.08159067556262016,0.07129404533654451,0.08133439272642136,0.0712174616754055,0.11169531792402268,0.10009067393839359
4,0.07542027868330478,0.07135881058871746,0.07525796331465244,0.07109817802906036,0.09377310276031495,0.0860139361768961
5,0.07355717569589615,0.07065982628613711,0.07326635122299194,0.07049622807651758,0.07863932773470879,0.07477989420294762
6,0.07535556256771088,0.07171390663832426,0.07514309883117676,0.07156218476593494,0.07369843423366547,0.0700032102689147
7,0.06975374147295951,0.06856431175023317,0.06962584964931011,0.06846855614334345,0.0691503956913948,0.06915401328355074
8,0.07079132050275802,0.07069621782749891,0.07071859017014503,0.07063964385539294,0.06888787634670734,0.06868276827037334
9,0.07568482756614685,0.0697196752205491,0.07562059089541436,0.0695839074999094,0.07109767496585846,0.06779804803431035
10,0.0729146271944046,0.07345097042620181,0.07280047982931137,0.07342680819332599,0.0694693949073553,0.06697539288550615
11,0.06938874460756779,0.06832262180745602,0.06933415047824383,0.06821048140525818,0.06716693677008152,0.06857580348849296
12,0.066347286850214,0.06760442670434713,0.06624846085906029,0.06749999057501554,0.06556609235703945,0.06772262543439865
13,0.06774356476962566,0.0685739304497838,0.06767509877681732,0.0684430243819952,0.0661786787211895,0.06865403808653354
14,0.06803176701068878,0.06871721550822257,0.06793081648647785,0.06860538441687822,0.0684100329875946,0.06944869581609964
15,0.0695081539452076,0.06771667249500751,0.06939456909894944,0.06759854413568973,0.06962854117155075,0.06774650666862726
16,0.06826412491500378,0.06729239828884602,0.06815343946218491,0.06717984441667796,0.06780109442770481,0.06745307471603156
17,0.06767696551978589,0.0686376928538084,0.0675866961479187,0.06851598095148802,0.06761758476495743,0.06844457596540451
18,0.06854661889374256,0.0684510350599885,0.06843051388859749,0.06832922413945199,0.06827704459428788,0.0678454689309001
19,0.07079866454005242,0.06832895494997501,0.07068139687180519,0.06820056736469268,0.07032619751989841,0.0677666175737977
20,0.0685725886374712,0.0687366883829236,0.06843808628618717,0.06861181162297726,0.06834490559995174,0.06863300886005164
21,0.06955620348453521,0.07183270562440157,0.06941897049546242,0.07171406365931034,0.06804251931607723,0.06777878679335117
22,0.07419721595942974,0.06788811579346657,0.07403825148940087,0.06777228251099586,0.07070137150585651,0.07047332294285297
23,0.0665646780282259,0.0676652404293418,0.06643379926681518,0.06754461880773306,0.06719268187880516,0.06761598557233811
