d,dstop,train_loss_orig,test_loss_orig,train_loss_cp,test_loss_cp
128,90,7.2515685081481935,1.2373298704624176,7.290514087677002,1.4414811432361603
256,128,8.871613121032714,0.48519617319107056,8.593414545059204,0.5352674573659897
512,181,8.528402042388915,0.17387507781386374,8.797615051269531,0.18594756200909615
1024,256,8.678497171401977,0.06723730005323887,8.960729885101319,0.07626500464975834
2048,362,8.657329034805297,0.04374947194010019,9.12093997001648,0.04629840347915888
4096,512,8.979497528076172,0.022282081842422485,8.95897045135498,0.026269443146884442
8192,724,9.261795139312744,0.01531769623979926,9.201507425308227,0.017160032596439122
16384,1024,8.93592586517334,0.014550688862800597,8.907113456726075,0.017333858646452427
32768,1448,9.18447847366333,0.01059897686354816,9.161727237701417,0.012066830601543187
65536,2048,9.2240779876709,0.008444846887141467,8.9226637840271,0.010592279303818942
131072,2896,8.805512428283691,0.007467534299939871,8.831131172180175,0.008613115129992365
