d,dstop,train_loss_orig,test_loss_orig,train_loss_cp,test_loss_cp
128,90,434.40032958984375,19.12113380432129,382.5816650390625,20.099231719970703
256,128,460.13226318359375,15.70402717590332,330.6720275878906,16.96372413635254
512,181,361.9888916015625,5.680662155151367,333.3475646972656,6.744687080383301
1024,256,405.2890625,1.7567695379257202,357.62109375,1.761110782623291
2048,362,373.10955810546875,0.9166064262390137,417.8363342285156,1.018931269645691
4096,512,366.71038818359375,0.36145955324172974,340.65478515625,0.44877487421035767
8192,724,422.95892333984375,0.10075164586305618,372.3653259277344,0.06091156229376793
16384,1024,419.4411926269531,0.3094053268432617,435.7575378417969,0.3066369295120239
32768,1448,408.53680419921875,0.11042691022157669,410.56561279296875,0.12037312239408493
65536,2048,387.8327331542969,0.07935728132724762,359.02093505859375,0.09963138401508331
131072,2896,363.8298034667969,0.04860777035355568,429.70831298828125,0.061708271503448486
