m,k,d,orig,comp
1,1,1000,0.5000138577341884,0.5000138715138449
1,1,1000,0.5006367492565126,0.5006367494304763
1,1,1000,0.4993107741741304,0.4993107589105575
1,1,1000,0.4986766267991647,0.49867664065267264
1,1,1000,0.5003899023194711,0.5003898974011051
1,1,1000,0.49989259229580174,0.4998925913349297
1,1,1000,0.49945696236731385,0.49945695805472684
1,1,1000,0.49996768942861014,0.49996768871195385
1,1,1000,0.49981136406110804,0.49981129346426295
1,1,1000,0.5012784915648004,0.5012785028754829
1,1,1000,0.49992276578563727,0.4999227817748097
1,1,1000,0.5002684551377586,0.5002684802076957
1,1,1000,0.4997469339433679,0.4997469271703904
1,1,1000,0.4974211137245766,0.49742101920871334
1,1,1000,0.4989264853755173,0.4989263806436614
1,1,1000,0.5001242425096437,0.5001242225097764
1,1,1000,0.49959600174865776,0.4995959373553579
1,1,1000,0.4996010884956961,0.499601046873212
1,1,1000,0.4999570598099913,0.499957028065041
1,1,1000,0.4988805802014617,0.49888052454880094
1,1,2000,0.5003906141095392,0.5003906190961268
1,1,2000,0.5000462467531176,0.500046247739792
1,1,2000,0.5002670399976572,0.5002670322376431
1,1,2000,0.5001114922472125,0.5001114922000496
1,1,2000,0.499988049889013,0.4999880524193512
1,1,2000,0.5000979936063809,0.5000979962167503
1,1,2000,0.5002986257502003,0.5002986295334955
1,1,2000,0.5005075568506921,0.5005075568821669
1,1,2000,0.5003624707150327,0.5003624709929939
1,1,2000,0.5001103064522211,0.5001103061048039
1,1,2000,0.49996731492436985,0.4999673155954546
1,1,2000,0.49962860434932127,0.49962859779316454
1,1,2000,0.5004961240731856,0.5004961261968028
1,1,2000,0.5025673341075657,0.5025673476836515
1,1,2000,0.5006134553585491,0.5006134580646551
1,1,2000,0.500253951176831,0.5002539498058937
1,1,2000,0.5000817248716574,0.500081725198359
1,1,2000,0.4997275462642337,0.4997275501122514
1,1,2000,0.4999714814254728,0.499971483393124
1,1,2000,0.49998832028007767,0.49998831818276634
1,1,4000,0.4989269402614176,0.4989269351598098
1,1,4000,0.49993655760170397,0.49993655754334865
1,1,4000,0.5001968106358322,0.5001968105770125
1,1,4000,0.5000709320142035,0.5000709333464829
1,1,4000,0.49976739568216577,0.49976739532675274
1,1,4000,0.5002036782607225,0.5002036783795192
1,1,4000,0.5004932446421465,0.5004932450919746
1,1,4000,0.49953946970993623,0.4995394691937417
1,1,4000,0.5000990303072743,0.5000990306938017
1,1,4000,0.4999209555948623,0.4999209551672186
1,1,4000,0.5000490987983428,0.5000490987791041
1,1,4000,0.5003160269163909,0.500316027002965
1,1,4000,0.5000978005409358,0.5000978005863619
1,1,4000,0.5000631915636459,0.5000631936569845
1,1,4000,0.4998971807554671,0.4998971807443803
1,1,4000,0.5001493451820185,0.5001493450177977
1,1,4000,0.49998608563112035,0.49998608481006157
1,1,4000,0.5000454629919864,0.5000454629493102
1,1,4000,0.5002591363802439,0.5002591356522357
1,1,4000,0.5002370231197913,0.500237024205904
1,1,8000,0.49996964894819756,0.4999696488561531
1,1,8000,0.4999761974745888,0.49997619748687105
1,1,8000,0.5000165016087152,0.5000165016812236
1,1,8000,0.49996407128062903,0.49996407125538717
1,1,8000,0.5004222256160534,0.5004222254218572
1,1,8000,0.5003856419693979,0.5003856421464384
1,1,8000,0.4999737019139547,0.49997370190723367
1,1,8000,0.49987885552428907,0.49987885550824424
1,1,8000,0.5000446426588188,0.5000446424487189
1,1,8000,0.49952244518292316,0.4995224450318228
1,1,8000,0.4999172846820196,0.49991728455677215
1,1,8000,0.5000343118928549,0.5000343118921664
1,1,8000,0.4992027498162683,0.4992027494846051
1,1,8000,0.5002012372637755,0.5002012374008397
1,1,8000,0.5004725134401936,0.5004725135371334
1,1,8000,0.4998452957770436,0.49984529581598736
1,1,8000,0.5000225899038367,0.5000225898052699
1,1,8000,0.49991195155656976,0.49991195148100714
1,1,8000,0.5007851432651539,0.5007851432581409
1,1,8000,0.5000983589882472,0.5000983590239702
1,1,16000,0.4999446411274856,0.4999446411110674
1,1,16000,0.5002116839803457,0.5002116839803111
1,1,16000,0.4995484210306126,0.49954842101033803
1,1,16000,0.4998407491801303,0.4998407491860473
1,1,16000,0.49971949808479577,0.4997194981234772
1,1,16000,0.5000060280555834,0.5000060280550599
1,1,16000,0.4999403103545884,0.4999403103646598
1,1,16000,0.49988593669034226,0.49988593668046094
1,1,16000,0.5000175292209823,0.5000175292194392
1,1,16000,0.5001137048493957,0.5001137048608628
1,1,16000,0.5000315059758422,0.5000315059867574
1,1,16000,0.49999800975924624,0.4999980097606548
1,1,16000,0.4999403878093434,0.49994038779259564
1,1,16000,0.5001291883855038,0.5001291883930827
1,1,16000,0.5000356584006405,0.5000356583749057
1,1,16000,0.5000589086051489,0.500058908628034
1,1,16000,0.4998400439223365,0.4998400438948096
1,1,16000,0.49999185955662784,0.49999185955119435
1,1,16000,0.49986066913004606,0.4998606691490988
1,1,16000,0.4999242693956545,0.4999242693955214
1,1,32000,0.5000356383345325,0.500035638330663
1,1,32000,0.5001005392752557,0.5001005392800548
1,1,32000,0.5000720064877706,0.5000720064889849
1,1,32000,0.49996965180470754,0.49996965180860503
1,1,32000,0.5000010524839456,0.5000010524829939
1,1,32000,0.5000643595630168,0.5000643595643249
1,1,32000,0.4999894213282074,0.4999894213279901
1,1,32000,0.4995452502903553,0.4995452503154454
1,1,32000,0.5000006422572332,0.5000006422573804
1,1,32000,0.500121303754886,0.5001213037560064
1,1,32000,0.5001003688101269,0.5001003688132551
1,1,32000,0.5002441894643256,0.5002441894574583
1,1,32000,0.49988261595619227,0.49988261595326616
1,1,32000,0.500092891345638,0.5000928913410535
1,1,32000,0.4999931311242913,0.49999313112319665
1,1,32000,0.4997517184449113,0.49975171844256333
1,1,32000,0.49994850073142444,0.499948500740366
1,1,32000,0.5004720324585485,0.5004720324464974
1,1,32000,0.4999472190836927,0.49994721908346573
1,1,32000,0.5000053364496371,0.5000053364479532
1,1,64000,0.4999829817842465,0.49998298178149964
1,1,64000,0.5000299437348441,0.5000299437353495
1,1,64000,0.5000093618401993,0.5000093618399492
1,1,64000,0.499905023801144,0.4999050238001679
1,1,64000,0.4999891854391407,0.4999891854384894
1,1,64000,0.500006542547536,0.5000065425518261
1,1,64000,0.4999405357777689,0.4999405357777504
1,1,64000,0.49999123381316884,0.49999123381257465
1,1,64000,0.49988662829792296,0.499886628300019
1,1,64000,0.4999656051455261,0.4999656051481399
1,1,64000,0.4998972889831845,0.4998972889974784
1,1,64000,0.49989150554665135,0.49989150554596945
1,1,64000,0.4999964921767778,0.4999964921768549
1,1,64000,0.49985121902109564,0.4998512190215817
1,1,64000,0.49991897507192357,0.49991897506446015
1,1,64000,0.4998890748523324,0.49988907487215933
1,1,64000,0.499965820909494,0.4999658209113836
1,1,64000,0.49998470799891614,0.49998470799764333
1,1,64000,0.49987767903925256,0.49987767904025976
1,1,64000,0.4999476299356903,0.4999476299355748
