epoch,train_loss_orig,test_loss_orig,train_loss_cp,test_loss_cp,train_loss_naive,test_loss_naive
0,5.662674427032471,4.723719120025635,5.662674427032471,4.723719120025635,5.517735958099365,4.723719120025635
1,5.614673614501953,4.676425457000732,5.614673614501953,4.676425457000732,5.469785213470459,4.676425457000732
2,5.567016124725342,4.629477024078369,5.5670166015625,4.629477024078369,5.422183513641357,4.629477024078369
3,5.519708156585693,4.582879543304443,5.519707679748535,4.582879543304443,5.374937534332275,4.582879543304443
4,5.47275447845459,4.536639213562012,5.47275447845459,4.536639213562012,5.328052997589111,4.536639213562012
5,5.42616081237793,4.49075984954834,5.42616081237793,4.49075984954834,5.2815351486206055,4.490759372711182
6,5.379932880401611,4.445247650146484,5.3799333572387695,4.445247650146484,5.235389232635498,4.445247650146484
7,5.3340744972229,4.400106430053711,5.334074020385742,4.400106430053711,5.189620494842529,4.400106430053711
8,5.288590431213379,4.355342388153076,5.288590431213379,4.355342388153076,5.144233226776123,4.355341911315918
9,5.243486404418945,4.310957908630371,5.243485450744629,4.310957908630371,5.099231719970703,4.310957908630371
10,5.198763847351074,4.266957759857178,5.198764801025391,4.266957759857178,5.05462121963501,4.266958713531494
11,5.154428958892822,4.223346710205078,5.1544294357299805,4.223346710205078,5.010403156280518,4.223346710205078
12,5.110484600067139,4.1801252365112305,5.110484600067139,4.1801252365112305,4.966584205627441,4.180126667022705
13,5.066932678222656,4.137299537658691,5.066932201385498,4.13730001449585,4.923164367675781,4.137300968170166
14,5.023777484893799,4.094870090484619,5.023777484893799,4.094870090484619,4.8801493644714355,4.094872951507568
15,4.981019496917725,4.0528411865234375,4.981019973754883,4.0528411865234375,4.837540149688721,4.052844524383545
16,4.938663482666016,4.011214256286621,4.938663959503174,4.011214256286621,4.7953386306762695,4.0112175941467285
17,4.896708965301514,3.969989776611328,4.8967084884643555,3.969989776611328,4.753547668457031,3.96999454498291
18,4.855158805847168,3.9291703701019287,4.855159282684326,3.9291703701019287,4.7121686935424805,3.929176092147827
19,4.814013481140137,3.88875675201416,4.814013481140137,3.88875675201416,4.671202182769775,3.8887648582458496
20,4.7732744216918945,3.8487496376037598,4.7732744216918945,3.8487496376037598,4.630650520324707,3.848759651184082
21,4.732941627502441,3.8091495037078857,4.732941627502441,3.8091495037078857,4.590512275695801,3.809162139892578
22,4.693015098571777,3.7699570655822754,4.6930155754089355,3.7699570655822754,4.550788879394531,3.769972324371338
23,4.653495788574219,3.731171131134033,4.6534953117370605,3.731171131134033,4.511480331420898,3.731189727783203
24,4.614381313323975,3.692791700363159,4.614381790161133,3.692791700363159,4.472586154937744,3.6928141117095947
