epoch,train_loss_orig,test_loss_orig,train_loss_cp,test_loss_cp,train_loss_naive,test_loss_naive
0,2.7708756923675537,2.7260348796844482,2.7709367275238037,2.7260348796844482,2.7832906246185303,2.7260348796844482
1,2.644505739212036,2.5996687412261963,2.644455909729004,2.5996174812316895,2.6570897102355957,2.599759101867676
2,2.5246565341949463,2.47981595993042,2.5244696140289307,2.479708194732666,2.5373151302337646,2.4799540042877197
3,2.410888433456421,2.3660507202148438,2.4106054306030273,2.3658714294433594,2.4235763549804688,2.3661959171295166
4,2.302813768386841,2.2579827308654785,2.302607297897339,2.257855176925659,2.3154959678649902,2.2581188678741455
5,2.200084686279297,2.1552693843841553,2.199918031692505,2.155163049697876,2.212728261947632,2.1553761959075928
6,2.1023712158203125,2.0575921535491943,2.102250814437866,2.0575125217437744,2.114962577819824,2.057668685913086
7,2.009387493133545,1.9646527767181396,2.0093066692352295,1.9646027088165283,2.021874189376831,1.964669942855835
8,1.9208834171295166,1.87620210647583,1.9208009243011475,1.8761638402938843,1.9332252740859985,1.8761454820632935
9,1.8365949392318726,1.7919765710830688,1.8364983797073364,1.7919316291809082,1.8487509489059448,1.7918232679367065
10,1.7563002109527588,1.7117469310760498,1.7561925649642944,1.7116992473602295,1.7682487964630127,1.711485505104065
11,1.6797761917114258,1.6353000402450562,1.6796706914901733,1.6352518796920776,1.6915043592453003,1.6349287033081055
12,1.6068251132965088,1.5624306201934814,1.6067360639572144,1.5624005794525146,1.618312120437622,1.56194269657135
13,1.5372662544250488,1.4929602146148682,1.5371853113174438,1.4929338693618774,1.548504114151001,1.492354154586792
14,1.4709179401397705,1.4267069101333618,1.4708563089370728,1.4266892671585083,1.481907606124878,1.425988793373108
15,1.4076216220855713,1.3635061979293823,1.407585620880127,1.3635057210922241,1.41834557056427,1.3626735210418701
16,1.347229242324829,1.303206205368042,1.3472257852554321,1.3032163381576538,1.357657551765442,1.3022500276565552
17,1.2895888090133667,1.2456607818603516,1.2896519899368286,1.2457046508789062,1.2997297048568726,1.24457848072052
18,1.2345670461654663,1.1907325983047485,1.2346669435501099,1.1908129453659058,1.2444359064102173,1.1895407438278198
19,1.1820412874221802,1.1382988691329956,1.1821428537368774,1.1383745670318604,1.1916446685791016,1.1370019912719727
20,1.131895899772644,1.0882441997528076,1.132010817527771,1.088326334953308,1.141232967376709,1.0868433713912964
21,1.0840152502059937,1.0404579639434814,1.084122896194458,1.0405347347259521,1.0930910110473633,1.0389586687088013
22,1.0382903814315796,0.9948306679725647,1.0383973121643066,0.9949068427085876,1.0471041202545166,0.9932326078414917
23,0.9946223497390747,0.9512571096420288,0.9947107434272766,0.9513219594955444,1.0031980276107788,0.9495792984962463
24,0.9529160857200623,0.9096433520317078,0.9529924988746643,0.909702718257904,0.9612694382667542,0.9078930616378784
25,0.9130847454071045,0.8699039220809937,0.9131460189819336,0.869957685470581,0.9212231636047363,0.8680874109268188
26,0.8750341534614563,0.8319489359855652,0.8750731348991394,0.831992506980896,0.8829566836357117,0.8300691246986389
27,0.8386860489845276,0.7956967949867249,0.8386994004249573,0.7957255244255066,0.846394419670105,0.793752908706665
28,0.8039616346359253,0.7610698938369751,0.8039425611495972,0.7610876560211182,0.8114692568778992,0.7590734958648682
29,0.7707940936088562,0.7279976010322571,0.7707398533821106,0.7279995083808899,0.7781010270118713,0.7259482741355896
30,0.7391136884689331,0.6964080333709717,0.739016592502594,0.6963890194892883,0.7462274432182312,0.6943112015724182
31,0.7088537812232971,0.66623854637146,0.708717405796051,0.6662002801895142,0.7157866954803467,0.6641013622283936
32,0.6799466609954834,0.6374214291572571,0.6797850131988525,0.6373717784881592,0.6866953372955322,0.6352449059486389
33,0.6523314714431763,0.6098945736885071,0.6521544456481934,0.6098371744155884,0.6588990688323975,0.6076792478561401
34,0.6259534358978271,0.5836020112037659,0.6257716417312622,0.5835406184196472,0.632350504398346,0.581354558467865
35,0.6007543802261353,0.5584858059883118,0.6005818247795105,0.5584294199943542,0.6069912314414978,0.5562126636505127
36,0.5766826868057251,0.5344939231872559,0.5765266418457031,0.5344458818435669,0.582768440246582,0.5322001576423645
37,0.553688108921051,0.5115763545036316,0.5535545945167542,0.5115395784378052,0.5596364736557007,0.5092686414718628
38,0.531721830368042,0.48968592286109924,0.5316163301467896,0.4896640181541443,0.5375428795814514,0.48737016320228577
39,0.5107396841049194,0.4687776267528534,0.5106586813926697,0.46876752376556396,0.5164355635643005,0.46645331382751465
40,0.4906980097293854,0.4488084614276886,0.49064305424690247,0.4488120973110199,0.4962722659111023,0.4464789927005768
41,0.4715559482574463,0.429737389087677,0.4715242087841034,0.42975184321403503,0.47700363397598267,0.4273989796638489
42,0.4532725214958191,0.41152533888816833,0.45326054096221924,0.41155147552490234,0.45859667658805847,0.40917959809303284
43,0.43580883741378784,0.3941323757171631,0.4358012080192566,0.39416012167930603,0.44100722670555115,0.3917773962020874
44,0.41912856698036194,0.37752285599708557,0.41912469267845154,0.37755391001701355,0.42420533299446106,0.3751598298549652
45,0.4031970798969269,0.36166009306907654,0.4031927287578583,0.36169081926345825,0.4081581234931946,0.3592928946018219
46,0.3879832625389099,0.3465133607387543,0.3879752457141876,0.34654179215431213,0.3928332030773163,0.34414565563201904
47,0.3734530210494995,0.3320498466491699,0.37344399094581604,0.33207669854164124,0.37819522619247437,0.32968083024024963
48,0.35957661271095276,0.31824007630348206,0.35957080125808716,0.3182680606842041,0.3642173409461975,0.31587159633636475
49,0.3463260233402252,0.3050536811351776,0.3463207483291626,0.30508145689964294,0.35086774826049805,0.3026883602142334
50,0.3336740732192993,0.29246386885643005,0.33366766571998596,0.292491614818573,0.33811500668525696,0.2901005744934082
51,0.32159337401390076,0.28044363856315613,0.3215864598751068,0.28047001361846924,0.3259325921535492,0.27808231115341187
52,0.31005868315696716,0.26896795630455017,0.3100549876689911,0.26899510622024536,0.31429383158683777,0.2666068971157074
53,0.299045592546463,0.2580125033855438,0.2990443706512451,0.25804004073143005,0.30317819118499756,0.25565290451049805
54,0.2885305881500244,0.24755461513996124,0.2885347604751587,0.24758394062519073,0.29256153106689453,0.24519497156143188
55,0.27849093079566956,0.23757143318653107,0.27850157022476196,0.2376038134098053,0.2824249565601349,0.23521338403224945
56,0.26890426874160767,0.2280411422252655,0.2689133882522583,0.22807201743125916,0.2727418541908264,0.2256844937801361
57,0.2597523033618927,0.21894387900829315,0.25976166129112244,0.2189740240573883,0.2634968161582947,0.21658983826637268
58,0.2510148286819458,0.2102600634098053,0.2510274350643158,0.21029099822044373,0.2546705901622772,0.20791082084178925
59,0.24267375469207764,0.20197124779224396,0.24269169569015503,0.20200403034687042,0.2462420016527176,0.19962742924690247
60,0.23471038043498993,0.19405977427959442,0.2347361147403717,0.19409547746181488,0.23819023370742798,0.19171999394893646
61,0.22710733115673065,0.1865081489086151,0.22714313864707947,0.18654777109622955,0.2305004596710205,0.18417254090309143
62,0.2198479026556015,0.17929980158805847,0.21989674866199493,0.1793450266122818,0.2231578528881073,0.1769690364599228
63,0.2129177302122116,0.17241956293582916,0.21297495067119598,0.1724681705236435,0.2161458134651184,0.17009495198726654
64,0.2063022255897522,0.16585248708724976,0.20636552572250366,0.16590291261672974,0.2094479352235794,0.16353312134742737
65,0.1999872326850891,0.15958447754383087,0.20005418360233307,0.15963725745677948,0.20305132865905762,0.15727126598358154
66,0.19395886361598969,0.15360179543495178,0.19402441382408142,0.15365268290042877,0.19694122672080994,0.15129394829273224
67,0.18820476531982422,0.14789238572120667,0.18827009201049805,0.1479419618844986,0.1911027878522873,0.14558780193328857
68,0.1827118843793869,0.14244362711906433,0.18277797102928162,0.14249254763126373,0.18552608788013458,0.14014238119125366
69,0.17746852338314056,0.137243390083313,0.17753568291664124,0.13729172945022583,0.18019999563694,0.13494479656219482
70,0.17246299982070923,0.13227985799312592,0.17253264784812927,0.13232824206352234,0.17511571943759918,0.1299857199192047
71,0.16768448054790497,0.12754236161708832,0.16775381565093994,0.1275894045829773,0.1702621728181839,0.12525424361228943
72,0.16312284767627716,0.12302055954933167,0.1631922423839569,0.12306647002696991,0.16562877595424652,0.12073981761932373
73,0.15876780450344086,0.11870460212230682,0.15883715450763702,0.1187499538064003,0.16120347380638123,0.11643161624670029
74,0.15460990369319916,0.11458484083414078,0.15467602014541626,0.11462802439928055,0.1569766253232956,0.1123194694519043
75,0.15064013004302979,0.11065232008695602,0.15070143342018127,0.11069223284721375,0.15293870866298676,0.10839476436376572
76,0.1468498855829239,0.10689850151538849,0.1469072550535202,0.10693556815385818,0.1490817368030548,0.10464909672737122
77,0.1432311236858368,0.10331539064645767,0.14328530430793762,0.10335005074739456,0.1453976035118103,0.10107403248548508
78,0.13977546989917755,0.09989476203918457,0.13982723653316498,0.0999273955821991,0.1418791264295578,0.09766237437725067
79,0.1364758461713791,0.0966290682554245,0.13652589917182922,0.09666009247303009,0.13851869106292725,0.09440631419420242
80,0.1333252340555191,0.09351131319999695,0.13337397575378418,0.09354099631309509,0.13530896604061127,0.09129858016967773
81,0.13031677901744843,0.09053462743759155,0.13036444783210754,0.09056312590837479,0.13224323093891144,0.08833267539739609
82,0.12744374573230743,0.08769243955612183,0.12749068439006805,0.08771990984678268,0.12931393086910248,0.0855012834072113
83,0.12469987571239471,0.08497848361730576,0.12474626302719116,0.08500493317842484,0.12651552259922028,0.08279876410961151
