KMeans round: #alive=49408/100000, #removed=50592, #clusters=2500, diam=2.84e-01
Epoch 11/50. Train loss: 1.809e-01, test loss: 1.621e-01
Epoch 12/50. Train loss: 1.807e-01, test loss: 1.621e-01
Epoch 13/50. Train loss: 1.802e-01, test loss: 1.621e-01
Epoch 14/50. Train loss: 1.808e-01, test loss: 1.622e-01
Epoch 15/50. Train loss: 1.809e-01, test loss: 1.621e-01
Epoch 16/50. Train loss: 1.808e-01, test loss: 1.621e-01
Epoch 17/50. Train loss: 1.819e-01, test loss: 1.621e-01
Epoch 18/50. Train loss: 1.809e-01, test loss: 1.621e-01
Epoch 19/50. Train loss: 1.815e-01, test loss: 1.621e-01
Epoch 20/50. Train loss: 1.796e-01, test loss: 1.621e-01
Epoch 21/50. Train loss: 1.801e-01, test loss: 1.623e-01
Epoch 22/50. Train loss: 1.802e-01, test loss: 1.622e-01
Epoch 23/50. Train loss: 1.814e-01, test loss: 1.623e-01
Epoch 24/50. Train loss: 1.819e-01, test loss: 1.624e-01
Epoch 25/50. Train loss: 1.795e-01, test loss: 1.624e-01
Epoch 26/50. Train loss: 1.808e-01, test loss: 1.624e-01
Epoch 27/50. Train loss: 1.802e-01, test loss: 1.624e-01
Epoch 28/50. Train loss: 1.809e-01, test loss: 1.624e-01
Epoch 29/50. Train loss: 1.810e-01, test loss: 1.624e-01
Epoch 30/50. Train loss: 1.803e-01, test loss: 1.623e-01
Epoch 31/50. Train loss: 1.812e-01, test loss: 1.625e-01
Epoch 32/50. Train loss: 1.797e-01, test loss: 1.625e-01
Epoch 33/50. Train loss: 1.798e-01, test loss: 1.626e-01
Epoch 34/50. Train loss: 1.813e-01, test loss: 1.625e-01
Epoch 35/50. Train loss: 1.814e-01, test loss: 1.625e-01
Epoch 36/50. Train loss: 1.814e-01, test loss: 1.625e-01
Epoch 37/50. Train loss: 1.796e-01, test loss: 1.625e-01
Epoch 38/50. Train loss: 1.808e-01, test loss: 1.625e-01
Epoch 39/50. Train loss: 1.797e-01, test loss: 1.625e-01
Epoch 40/50. Train loss: 1.791e-01, test loss: 1.626e-01
Epoch 41/50. Train loss: 1.801e-01, test loss: 1.624e-01
Epoch 42/50. Train loss: 1.809e-01, test loss: 1.625e-01
Epoch 43/50. Train loss: 1.820e-01, test loss: 1.625e-01
Epoch 44/50. Train loss: 1.799e-01, test loss: 1.625e-01
Epoch 45/50. Train loss: 1.792e-01, test loss: 1.625e-01
Epoch 46/50. Train loss: 1.803e-01, test loss: 1.626e-01
Epoch 47/50. Train loss: 1.811e-01, test loss: 1.625e-01
Epoch 48/50. Train loss: 1.803e-01, test loss: 1.627e-01
Epoch 49/50. Train loss: 1.806e-01, test loss: 1.626e-01
Epoch 50/50. Train loss: 1.785e-01, test loss: 1.627e-01
Epoch 1/50. Train loss: 1.834e-01, test loss: 1.611e-01
Epoch 2/50. Train loss: 1.755e-01, test loss: 1.607e-01
Epoch 3/50. Train loss: 1.738e-01, test loss: 1.610e-01
Epoch 4/50. Train loss: 1.733e-01, test loss: 1.610e-01
Epoch 5/50. Train loss: 1.740e-01, test loss: 1.612e-01
Epoch 6/50. Train loss: 1.729e-01, test loss: 1.613e-01
Epoch 7/50. Train loss: 1.735e-01, test loss: 1.616e-01
Epoch 8/50. Train loss: 1.733e-01, test loss: 1.617e-01
Epoch 9/50. Train loss: 1.724e-01, test loss: 1.617e-01
Epoch 10/50. Train loss: 1.737e-01, test loss: 1.619e-01
Epoch 11/50. Train loss: 1.732e-01, test loss: 1.621e-01
Epoch 12/50. Train loss: 1.724e-01, test loss: 1.621e-01
Epoch 13/50. Train loss: 1.749e-01, test loss: 1.620e-01
Epoch 14/50. Train loss: 1.732e-01, test loss: 1.621e-01
Epoch 15/50. Train loss: 1.714e-01, test loss: 1.622e-01
Epoch 16/50. Train loss: 1.734e-01, test loss: 1.621e-01
Epoch 17/50. Train loss: 1.738e-01, test loss: 1.623e-01
Epoch 18/50. Train loss: 1.726e-01, test loss: 1.621e-01
Epoch 19/50. Train loss: 1.740e-01, test loss: 1.622e-01
Epoch 20/50. Train loss: 1.730e-01, test loss: 1.623e-01
Epoch 21/50. Train loss: 1.731e-01, test loss: 1.625e-01
Epoch 22/50. Train loss: 1.743e-01, test loss: 1.623e-01
Epoch 23/50. Train loss: 1.714e-01, test loss: 1.622e-01
Epoch 24/50. Train loss: 1.713e-01, test loss: 1.623e-01
Epoch 25/50. Train loss: 1.729e-01, test loss: 1.623e-01
Epoch 26/50. Train loss: 1.730e-01, test loss: 1.624e-01
Epoch 27/50. Train loss: 1.721e-01, test loss: 1.624e-01
Epoch 28/50. Train loss: 1.718e-01, test loss: 1.626e-01
Epoch 29/50. Train loss: 1.710e-01, test loss: 1.625e-01
Epoch 30/50. Train loss: 1.717e-01, test loss: 1.625e-01
Epoch 31/50. Train loss: 1.720e-01, test loss: 1.625e-01
Epoch 32/50. Train loss: 1.724e-01, test loss: 1.623e-01
Epoch 33/50. Train loss: 1.718e-01, test loss: 1.624e-01
Epoch 34/50. Train loss: 1.714e-01, test loss: 1.624e-01
Epoch 35/50. Train loss: 1.711e-01, test loss: 1.625e-01
Epoch 36/50. Train loss: 1.715e-01, test loss: 1.625e-01
Epoch 37/50. Train loss: 1.713e-01, test loss: 1.624e-01
Epoch 38/50. Train loss: 1.726e-01, test loss: 1.627e-01
Epoch 39/50. Train loss: 1.717e-01, test loss: 1.625e-01
Epoch 40/50. Train loss: 1.715e-01, test loss: 1.624e-01
Epoch 41/50. Train loss: 1.717e-01, test loss: 1.625e-01
Epoch 42/50. Train loss: 1.719e-01, test loss: 1.626e-01
Epoch 43/50. Train loss: 1.707e-01, test loss: 1.625e-01
Epoch 44/50. Train loss: 1.726e-01, test loss: 1.624e-01
Epoch 45/50. Train loss: 1.703e-01, test loss: 1.626e-01
Epoch 46/50. Train loss: 1.710e-01, test loss: 1.625e-01
Epoch 47/50. Train loss: 1.705e-01, test loss: 1.624e-01
Epoch 48/50. Train loss: 1.727e-01, test loss: 1.624e-01
Epoch 49/50. Train loss: 1.708e-01, test loss: 1.625e-01
Epoch 50/50. Train loss: 1.723e-01, test loss: 1.625e-01
