seed,d,dstop,test_loss_orig,test_loss_cp
1,524288,11585,0.0011789157521724701,0.0017672399020195006
2,524288,11585,0.0018182555127143859,0.0018678938579559327
4,524288,11585,0.0011738275122642518,0.001251140398979187
3,524288,11585,0.0012771981954574586,0.0016504477405548095
5,524288,11585,0.0010511428856849671,0.001614359471797943
0,524288,11585,0.001387195200920105,0.0015380185723304748
10,524288,11585,0.0015597271156311036,0.0021503680992126465
13,524288,11585,0.001363676986694336,0.0018365546345710754
12,524288,11585,0.0009083385193347931,0.001163757667541504
11,524288,11585,0.0017139993762969972,0.002133157796859741
15,524288,11585,0.0018080013155937194,0.0021188170957565306
16,524288,11585,0.0016469376373291016,0.001957617988586426
6,524288,11585,0.0009736281895637512,0.0022007784724235534
8,524288,11585,0.0013582876038551331,0.0023678618717193605
18,524288,11585,0.0017360318088531495,0.0015792061257362366
14,524288,11585,0.0015364600062370301,0.0016543176436424256
7,524288,11585,0.002315975112915039,0.0028331202363967895
19,524288,11585,0.0016678702545166015,0.0024157273769378662
2,1048576,16384,0.001985287005901337,0.0022611869859695435
5,1048576,16384,0.000937409451007843,0.0013933456659317018
1,1048576,16384,0.0011815174460411072,0.0014209334540367126
0,1048576,16384,0.0009299427545070648,0.0012676914072036743
3,1048576,16384,0.0008786141514778137,0.0018252504968643188
7,1048576,16384,0.001895561797618866,0.0024049665355682375
8,1048576,16384,0.001215683364868164,0.0014378678011894225
10,1048576,16384,0.0009147384369373321,0.001827395796775818
17,524288,11585,0.0010195403301715852,0.001110794279575348
11,1048576,16384,0.0011736196386814117,0.001633775291442871
15,1048576,16384,0.0014196174216270447,0.0011065423679351807
17,1048576,16384,0.001148997814655304,0.0013773313546180724
14,1048576,16384,0.0016411640405654907,0.0019232668161392212
9,1048576,16384,0.0006378584730625153,0.0007980831038951874
12,1048576,16384,0.0008767451095581055,0.0009565588212013244
19,1048576,16384,0.0013128574085235596,0.0020371117877960206
18,1048576,16384,0.0013549400281906128,0.001472498812675476
16,1048576,16384,0.001233620377779007,0.0015434530997276306
6,1048576,16384,0.0011320647394657136,0.001315528302192688
