d,test_loss_orig,test_loss_cp
0,0.018366796895861626,0.018319454044103622
10,0.004964041989296675,0.005782678723335266
20,0.004967331420630217,0.005847973749041557
30,0.005016371142119169,0.005880308337509632
40,0.00509480619803071,0.005930687300860882
50,0.00511133810505271,0.005828248802572489
60,0.0050592259503901005,0.00567622110247612
70,0.00482160085812211,0.005300887394696474
80,0.004363120533525944,0.0047386400401592255
90,0.003709433600306511,0.004106585402041674
100,0.003146113594993949,0.003610211191698909
110,0.0027804633136838675,0.003293153364211321
120,0.0026195442769676447,0.0031522621866315603
130,0.002553552156314254,0.003130681812763214
140,0.0024470186326652765,0.0029571899212896824
150,0.002090824069455266,0.002573036588728428
160,0.0018964599585160613,0.002408116590231657
170,0.00177465146407485,0.002285879570990801
180,0.0016204356215894222,0.002129355678334832
190,0.0015557371079921722,0.002068023895844817
200,0.001539713703095913,0.0020527576562017202
