d,test_loss_orig,test_loss_cp
0,0.01854882948100567,0.018157947808504105
10,0.00446776719763875,0.0049143387004733086
20,0.004415353760123253,0.004789077676832676
30,0.004765357356518507,0.005062961019575596
40,0.0053523266687989235,0.005718982312828302
50,0.006009721662849188,0.006186190061271191
60,0.006216537673026323,0.006155063398182392
70,0.005378867965191603,0.00524271372705698
80,0.004186473321169615,0.004181169904768467
90,0.0034619204234331846,0.00363055057823658
100,0.0030475326348096132,0.0032053396571427584
110,0.002716789487749338,0.0028286390006542206
120,0.0026347655802965164,0.0026375274173915386
130,0.002234686864539981,0.0024305672850459814
140,0.0018890543142333627,0.0020640117581933737
150,0.0013427226804196835,0.0014747445238754153
160,0.001135225989855826,0.00125589850358665
170,0.0008149927598424256,0.0009272396564483643
180,0.0007763208705000579,0.0008849835721775889
190,0.0007329627405852079,0.0008447045111097395
200,0.000649095163680613,0.000762650219257921
