d,test_loss_orig,test_loss_cp
0,0.03255520388484001,0.03256138041615486
10,0.005481421016156673,0.0058660805225372314
20,0.0055426643230021,0.005925390403717756
30,0.00557632464915514,0.005945943761616945
40,0.005584436468780041,0.005950472317636013
50,0.00557300029322505,0.005929787643253803
60,0.005464852321892977,0.005843945313245058
70,0.005268486216664314,0.005664193071424961
80,0.005036285612732172,0.005420209839940071
90,0.004877392202615738,0.0052413782104849815
100,0.004803502466529608,0.005197471939027309
110,0.004413697402924299,0.004976062569767237
120,0.00412499625235796,0.00468051340430975
130,0.004054030869156122,0.0045343926176428795
140,0.003756184596568346,0.0041968640871346
150,0.0035412609577178955,0.0039956895634531975
160,0.0031077321618795395,0.0035464779939502478
170,0.002888255985453725,0.0033145970664918423
180,0.002777613466605544,0.00320208678022027
190,0.0027457105461508036,0.0031691482290625572
200,0.0027493261732161045,0.0031727871391922235
