d,test_loss_orig,test_loss_cp
0,0.05895012617111206,0.0593646764755249
10,0.004416144918650389,0.004564687609672546
20,0.004827524535357952,0.0048436447978019714
30,0.005009253975003958,0.004864832852035761
40,0.005067056976258755,0.0047966786660254
50,0.005000729113817215,0.0046550072729587555
60,0.004655406344681978,0.0044062077067792416
70,0.004057082813233137,0.004093124996870756
80,0.003367831464856863,0.0035850226413458586
90,0.002983991289511323,0.003189915558323264
100,0.002945471787825227,0.003140439745038748
110,0.002989864442497492,0.003146758768707514
120,0.0030373164918273687,0.0031368627678602934
130,0.002672611502930522,0.002700048265978694
140,0.0019301787251606584,0.0020330543629825115
150,0.0016145871486514807,0.0017925580032169819
160,0.001465330831706524,0.0016175775090232491
170,0.001317124580964446,0.0014902822440490127
180,0.0011841519735753536,0.0013458397006615996
190,0.001045755809172988,0.0012031103251501918
200,0.001038723043166101,0.001195142394863069
