d,test_loss_orig,test_loss_cp
0,0.07594756036996841,0.07471755146980286
10,0.004748183768242598,0.005342285148799419
20,0.004753483925014734,0.005341263487935066
30,0.0047309910878539085,0.005314755253493786
40,0.004748346284031868,0.00534503860399127
50,0.004822834860533476,0.005447199568152428
60,0.0048584830947220325,0.005450866650789976
70,0.004666838329285383,0.0051261973567306995
80,0.004194273613393307,0.004564629402011633
90,0.00378385279327631,0.004151159897446632
100,0.0034109142143279314,0.003799560246989131
110,0.003053617663681507,0.0033872881904244423
120,0.0028268261812627316,0.0031322985887527466
130,0.002729404252022505,0.0030598894227296114
140,0.00235217553563416,0.0027214582078158855
150,0.0021167497616261244,0.0024714393075555563
160,0.001944280695170164,0.00231772568076849
170,0.0018096471903845668,0.002167156897485256
180,0.001689751399680972,0.0020408593118190765
190,0.0016530121210962534,0.0020011812448501587
200,0.001644081436097622,0.0019920666236430407
