d,test_loss_orig,test_loss_cp
0,0.04152263277769089,0.04005404254794121
20,0.012465119382739066,0.012509047070145607
40,0.011889933216571807,0.011949849493801594
60,0.011225618828833103,0.011326350557804107
80,0.010650915487110614,0.010728335820138454
100,0.010209652745723724,0.010320760221779347
120,0.009961151912808419,0.010118767872452736
140,0.009834600180387497,0.00998128206729889
160,0.009675093193352222,0.00981849117577076
180,0.00951463398784399,0.009676060411334038
200,0.009396327394247055,0.009552310283482074
220,0.009279181480407715,0.009466872976720333
240,0.00916043382436037,0.009359822084009647
260,0.009092726626992226,0.009300498536229133
280,0.008986997462809086,0.009237873119115829
300,0.008942485344409943,0.009176593333482742
320,0.008857756857573985,0.00912149551063776
340,0.008820776127278804,0.009049265015125275
360,0.00877738847732544,0.009021568347513676
380,0.008706970402598381,0.008973542794585228
400,0.00866041508615017,0.008920421640574933
420,0.00863805468827486,0.008889931719005107
440,0.008585256353020668,0.008853991854190826
460,0.0085528169631958,0.008815515860915184
480,0.00851473904401064,0.00877556458711624
500,0.00849274771809578,0.008725667540729046
520,0.008440511344373226,0.008701113027334213
540,0.00841254621297121,0.008673607182502747
560,0.008393643167614937,0.008642266261577606
580,0.008358785417675972,0.008606455433368684
600,0.0083353316873312,0.00856866643279791
620,0.008307127676904202,0.008537760978937148
640,0.008265311084687709,0.008500341528654098
660,0.008247802078723908,0.008464993843436242
680,0.008219017577171325,0.008451745338737965
700,0.008188379572331905,0.00841288635879755
720,0.008157527616620064,0.00837860902994871
740,0.008133173650503159,0.008333847558498383
760,0.008094975067675113,0.008304177466034889
780,0.008049038782715798,0.00825677319020033
800,0.008017490632832051,0.008219789905846119
820,0.007976488935947419,0.008175479157269001
840,0.007936342658102512,0.008135364073514938
860,0.007909824965894222,0.008092129205167293
880,0.007864033782482148,0.008056456615030766
900,0.007830116283893586,0.008017216981947422
920,0.0077926661446690556,0.007972634874284268
940,0.007758859330415726,0.007935795602202415
960,0.007725146496295929,0.007902991679310798
980,0.007682563960552216,0.007869156055152416
1000,0.00764830288887024,0.007834578205645084
1020,0.007623576430976391,0.007794373655319214
1040,0.007599815295636654,0.007769215072691441
1060,0.00756835385710001,0.007743913766741752
1080,0.007548449097573757,0.007723871621489525
1100,0.007529363979399204,0.007696370331943035
1120,0.007512595787644386,0.007675494645535946
1140,0.0074901319682598114,0.00765775396078825
1160,0.0074694240346550944,0.007638073721528053
1180,0.007450772312283516,0.007621657747030258
1200,0.007431443074345589,0.007605845692753792
1220,0.007409945483505726,0.007590961746871471
1240,0.0073949251487851145,0.007580082048475743
1260,0.007379656914621591,0.007569282206892967
1280,0.007359652737528086,0.00756304419785738
1300,0.007353501705825329,0.007556584659218788
1320,0.007342813827842474,0.0075537661135196684
1340,0.007334855384379626,0.007549030534923076
1360,0.007327720350027084,0.0075411576166749
1380,0.007315494704246521,0.0075300603732466696
1400,0.0072999301850795745,0.007517258822917938
1420,0.0072775612346827985,0.00749933774471283
1440,0.007251046257466078,0.007477708712220192
1460,0.007220104262977839,0.007452938944101334
1480,0.007189402011781931,0.007429249677062035
1500,0.007159603529423475,0.007406481248140335
1520,0.00713406901806593,0.007380026580393315
1540,0.007111964818090201,0.007358766379952431
1560,0.00709374513477087,0.007340258103609085
1580,0.00707861206009984,0.007323534603416919
1600,0.007067309165000916,0.007310088541358709
1620,0.007057177045196295,0.007297304080426693
1640,0.007047583338618279,0.007284761812537908
1660,0.0070366944834589955,0.007271297984570265
1680,0.0070259398490190505,0.007256605648994446
1700,0.007012537641078234,0.007240623000264168
1720,0.006996750444173813,0.007225422912091017
1740,0.00698234593346715,0.007211782005429268
1760,0.006968625634908676,0.007198811846226454
1780,0.006957033301889896,0.0071877284102141855
1800,0.006948277904838323,0.007179472778737545
1820,0.0069415239840745924,0.00717269396185875
1840,0.006937043331563472,0.007168069961667061
1860,0.006934206648916006,0.007165163475275039
1880,0.006933199028670788,0.0071640767067670825
1900,0.006933213732391596,0.007163786892592907
1920,0.006934301088005304,0.007164553143829107
1940,0.006935266595333814,0.0071651963017880915
1960,0.006935417383909226,0.007165229244530201
1980,0.0069355887949466705,0.007165347530692816
2000,0.006935694009065628,0.007165446492284537
