d,test_loss_orig,test_loss_cp
0,0.03146857043802738,0.03154191370010376
20,0.02234847465157509,0.02042794373035431
40,0.07750413473844528,0.07544420645236968
60,0.020451384457945823,0.021942575925588608
80,0.050957808482646944,0.06605283731222153
100,0.016646592253446578,0.022216457337141036
120,0.03872865695357323,0.03444326125979424
140,0.025067409041523932,0.02631536791920662
160,0.016152223719656467,0.014897630019485951
180,0.0145830999776721,0.013540568235516548
200,0.01060022062510252,0.01051863138526678
220,0.00972441267222166,0.009786205399036407
240,0.008394971638917923,0.00819789193123579
260,0.007164930471777916,0.0071801342107355596
280,0.0068753434464335446,0.006932704839855432
300,0.006755801589787006,0.006836408037692308
320,0.006641440816223621,0.006683406740427017
340,0.006533721850067377,0.006516530150920153
360,0.006346325616538525,0.006229262509942055
380,0.006054339384287595,0.00595404913276434
400,0.005701442341506481,0.0057228831291198734
420,0.0054155919082462785,0.005488619285821915
440,0.005212843046337366,0.0054083297990262505
460,0.005072230992466211,0.005294895233213901
480,0.004988679057359695,0.005207011803239584
500,0.004919742190092802,0.005141619998216629
520,0.0048563393078744415,0.0050754115141928196
540,0.004788759084790945,0.004977899014949798
560,0.004732386500388384,0.004885243286192417
580,0.004692352988570929,0.004830944330245257
600,0.0046780556231737136,0.0048085746511816975
620,0.004691655464470387,0.004819644469022751
640,0.004731447732448578,0.004842445281893015
660,0.004784783505648375,0.004876668612658977
680,0.004848694453388452,0.004931921239197255
700,0.004916221379488706,0.0049607651270926
720,0.004990338940918446,0.005018289253115654
740,0.00507067014053464,0.00509248161688447
760,0.005152646584063768,0.0051257351219654084
780,0.005218382445722819,0.005189560586214065
800,0.005295360819995403,0.005267069286108017
820,0.005371015525609255,0.005293844224512577
840,0.005445304602384567,0.005327948050945997
860,0.005517573497444392,0.0053694263689219954
880,0.00557590121626854,0.005413480307161808
900,0.005636307860910892,0.0054565180622041225
920,0.005673745892941952,0.005446709135919809
940,0.005717590640485287,0.0054874403305351736
960,0.005730648840218782,0.005485896271467209
980,0.0057347463384270665,0.005519156125187874
1000,0.005699184418469667,0.005521471644192934
1020,0.005651962417364121,0.005474077671766281
1040,0.005581559514254332,0.005470468045771122
1060,0.005490144248306752,0.005388216316699982
1080,0.005379874304682016,0.005332374300807715
1100,0.00524657235071063,0.00520605576634407
1120,0.005082792852073908,0.005116841335594654
1140,0.004902757675945759,0.004981278301030397
1160,0.004702822329103947,0.004819608640670776
1180,0.004494131036102772,0.004637433756887912
1200,0.004278486629575491,0.004447178477793932
1220,0.004075784598663449,0.0042608375214040276
1240,0.0038965660363435746,0.004123970427364111
1260,0.0037649357687681915,0.004013786603882909
1280,0.0036885542415082454,0.003973806671053171
1300,0.0036696844447404145,0.003998506378754973
1320,0.003711040338873863,0.004050872115418315
1340,0.0037964131474494934,0.004108755297213793
1360,0.0038985266353935,0.0041929841388016935
1380,0.004002873132377863,0.0042343406103551385
1400,0.004055568888783455,0.004224312926828861
1420,0.004009534640610218,0.0041325983241200445
1440,0.003852180636674166,0.003928149283304811
1460,0.003557689751312137,0.0035951624762266873
1480,0.0031838980462402106,0.0032181939903646707
1500,0.002849324855208397,0.0029101490564644337
1520,0.0026455954033881425,0.002750339786708355
1540,0.002558523419499397,0.0026878007344901564
1560,0.002538103220611811,0.002676373303309083
1580,0.002522068153321743,0.0026493390131741763
1600,0.00246912607178092,0.0025952280573546885
1620,0.0024232194755226372,0.0025700978752225636
1640,0.0024352107759565114,0.0026063178688287736
1660,0.0024821742724627257,0.0026747116409242154
1680,0.002550700722634792,0.0027510831139981747
1700,0.0026245353009551765,0.002807573601976037
1720,0.0026619199961423873,0.0028174803629517557
1740,0.0026354147505015134,0.0027696047008037568
1760,0.0025685282737016677,0.0026958898413926365
1780,0.0024952666986733673,0.002622815711051226
1800,0.002427373203635216,0.002558084376901388
1820,0.002366490937024355,0.0025017047230154275
1840,0.0023147205751389266,0.002452910577878356
1860,0.0022720406100153923,0.0024116347312927245
1880,0.002238661798462272,0.0023782804131507874
1900,0.002206023697555065,0.0023452939849346877
1920,0.0021721749279648064,0.0023113464970141648
1940,0.0021486420661211013,0.0022885277569293975
1960,0.002142143340408802,0.0022829388819634914
1980,0.002143460138142109,0.0022844948340207337
2000,0.0021442707475274802,0.0022853256806731224
