d,test_loss_orig,test_loss_cp
0,0.10246407985687256,0.10243867337703705
10,0.004104553256183863,0.004473366774618626
20,0.0041918703354895115,0.004522964358329773
30,0.004097202327102423,0.004401953890919685
40,0.003939831629395485,0.004267410840839148
50,0.0036909894552081823,0.004021859727799892
60,0.003472578711807728,0.00378026464022696
70,0.00335687561891973,0.0036198431625962257
80,0.0033038074616342783,0.0034957563038915396
90,0.003396006068214774,0.0035022813826799393
100,0.0035853104200214148,0.003739893203601241
110,0.003203880973160267,0.0035066939890384674
120,0.0029093665070831776,0.0032315985299646854
130,0.0029148843605071306,0.003087690332904458
140,0.00232477649115026,0.0024768980219960213
150,0.0017119627445936203,0.0018656186293810606
160,0.0013046569656580687,0.0014708193484693766
170,0.0012571056140586734,0.0014228603104129434
180,0.0010894960723817348,0.0012506315251812339
190,0.0010374061530455947,0.0011986837489530444
200,0.0010128632420673966,0.0011742010246962309
