d,test_loss_orig,test_loss_cp
0,0.09266842156648636,0.09043639898300171
10,0.004981826990842819,0.0051765162497758865
20,0.005072668194770813,0.005261681973934174
30,0.005051963962614536,0.005236433818936348
40,0.004994750488549471,0.005181594286113977
50,0.004931455943733454,0.005102802067995071
60,0.004891514778137207,0.005058968905359507
70,0.004875187762081623,0.005029021762311459
80,0.004832814447581768,0.004976541735231876
90,0.004791832994669676,0.004956283140927553
100,0.004791849292814732,0.0049920896999537945
110,0.004783199168741703,0.005022307857871056
120,0.004366127774119377,0.0046244096010923386
130,0.003779396414756775,0.00401269132271409
140,0.0034202425740659237,0.0036341585218906403
150,0.0031656858045607805,0.0033942493610084057
160,0.0029997839592397213,0.00323090679012239
170,0.0028412342071533203,0.0030724594835191965
180,0.00276481662876904,0.0029988419264554977
190,0.002723334589973092,0.0029562402050942183
200,0.002724688034504652,0.0029574590735137463
