d,test_loss_orig,test_loss_cp
0,0.04318851977586746,0.04328176751732826
10,0.00416972953826189,0.004684365354478359
20,0.004283932037651539,0.004838775843381882
30,0.004314988851547241,0.004829889629036188
40,0.004234676249325275,0.004800050053745508
50,0.004045618698000908,0.004645991139113903
60,0.0037886532954871655,0.004349098540842533
70,0.0035281432792544365,0.003999639768153429
80,0.0033981092274188995,0.0037756997626274824
90,0.0033488543704152107,0.0036418908275663853
100,0.0033148371148854494,0.0035843777004629374
110,0.0033725255634635687,0.0036119448486715555
120,0.0031487303785979748,0.0033704079687595367
130,0.0026668659411370754,0.0029071737080812454
140,0.002353146905079484,0.0026215328834950924
150,0.0021497230045497417,0.0024029468186199665
160,0.002070052782073617,0.0023309250827878714
170,0.0018207426182925701,0.002075578784570098
180,0.001665476243942976,0.0019328518537804484
190,0.001631415681913495,0.0018840368138626218
200,0.0016162308165803552,0.0018686394905671477
