d,test_loss_orig,test_loss_cp
0,0.024604003876447678,0.025093724951148033
10,0.0036168512888252735,0.0036351110320538282
20,0.0035966781433671713,0.0036885575391352177
30,0.0035930771846324205,0.003654737491160631
40,0.003528266679495573,0.0036307047121226788
50,0.0033964209724217653,0.0035587491001933813
60,0.003295764559879899,0.00339486519806087
70,0.003390817902982235,0.003460504114627838
80,0.0035251248627901077,0.003714390331879258
90,0.0030826868023723364,0.0034762586001306772
100,0.0025318043772131205,0.0025654162745922804
110,0.0026635737158358097,0.0025515062734484673
120,0.002538233296945691,0.002627253532409668
130,0.002358597470447421,0.0024580250028520823
140,0.0023216265253722668,0.002362199127674103
150,0.0016228908207267523,0.001651110826060176
160,0.0014266094658523798,0.0015309005975723267
170,0.0010308766504749656,0.00111445935908705
180,0.0007627903833054006,0.0008380823419429362
190,0.0006997690652497113,0.0007711198413744569
200,0.00067153200507164,0.000740963441785425
