d,test_loss_orig,test_loss_cp
0,0.060713060200214386,0.060713060200214386
10,0.007287557236850262,0.007287557236850262
20,0.007293044589459896,0.007293044589459896
30,0.007294266950339079,0.007294266950339079
40,0.007245275191962719,0.007245275191962719
50,0.007151967380195856,0.007151967380195856
60,0.006970154587179422,0.006970154587179422
70,0.00674935057759285,0.00674935057759285
80,0.006540604401379824,0.006540604401379824
90,0.006342479959130287,0.006342479959130287
100,0.006113536190241575,0.006113536190241575
110,0.005895925685763359,0.005895925685763359
120,0.0057220617309212685,0.0057220617309212685
130,0.00563814677298069,0.00563814677298069
140,0.005516757722944021,0.005516757722944021
150,0.005292420741170645,0.005292420741170645
160,0.005094738677144051,0.005094738677144051
170,0.004965069703757763,0.004965069703757763
180,0.004920604173094034,0.004920604173094034
190,0.004893871955573559,0.004893871955573559
200,0.004894138313829899,0.004894138313829899
