d,test_loss_orig,test_loss_cp
0,0.044559989124536514,0.04462655633687973
10,0.004551265388727188,0.004676304757595062
20,0.004763548728078604,0.004858300555497408
30,0.0047060828655958176,0.0048355949111282825
40,0.004608169198036194,0.004738645162433386
50,0.004399202764034271,0.004585498012602329
60,0.004010988399386406,0.004262012895196676
70,0.003648332552984357,0.00380805809982121
80,0.0033564104232937098,0.0034482378978282213
90,0.003086851444095373,0.0031948687974363565
100,0.002924580592662096,0.0030323632527142763
110,0.0026807812973856926,0.0027388976886868477
120,0.002200840041041374,0.002317612525075674
130,0.0019068436231464148,0.0019984664395451546
140,0.0016487040556967258,0.0017696196446195245
150,0.0014775549061596394,0.0016224837163463235
160,0.001336593646556139,0.0014542390126734972
170,0.0012814347865059972,0.0013730465434491634
180,0.0011124390875920653,0.001229264191351831
190,0.0010220548138022423,0.001131236320361495
200,0.0010196209186688066,0.0011263752821832895
