d,test_loss_orig,test_loss_cp
0,0.09038141369819641,0.09038141369819641
10,0.007697336841374636,0.007697336841374636
20,0.007677913177758455,0.007677913177758455
30,0.007646474055945873,0.007646474055945873
40,0.007585863117128611,0.007585863117128611
50,0.007478117011487484,0.007478117011487484
60,0.007347743958234787,0.007347743958234787
70,0.00714332889765501,0.00714332889765501
80,0.006908340845257044,0.006908340845257044
90,0.006790673825889826,0.006790673825889826
100,0.006731806788593531,0.006731806788593531
110,0.006494889035820961,0.006494889035820961
120,0.0062860241159796715,0.0062860241159796715
130,0.006126527674496174,0.006126527674496174
140,0.0056962245143949986,0.0056962245143949986
150,0.0053959679789841175,0.0053959679789841175
160,0.005194015335291624,0.005194015335291624
170,0.005047366488724947,0.005047366488724947
180,0.004972228780388832,0.004972228780388832
190,0.004937730263918638,0.004937730263918638
200,0.004939638543874025,0.004939638543874025
