epoch,train_loss_orig,test_loss_orig,train_loss_cp,test_loss_cp,train_loss_naive,test_loss_naive
0,0.15576749672412873,0.1566772621870041,0.15636144199371338,0.15722347228050232,0.13407052904605865,0.13487865974903107
10,0.0026014949978142975,0.0026198132057487964,0.002549171070717275,0.0025623780933767557,0.0006451921804738231,0.0006547170185716823
20,0.0005642312234686688,0.0005735915188863873,0.0005883583468594589,0.0005966985015943647,0.00042655408676480877,0.0004336751984152943
30,0.0016462529492750765,0.0016606560090184211,0.002085167032405734,0.0021014606458693743,0.00036342178348451853,0.00036884540050057695
40,0.00045537704922258854,0.00046354451201856137,0.0014672863057628273,0.0014744276770204305,0.0003045736542530358,0.00030957043459638953
50,0.00043746474763844165,0.0004450232198275626,0.0004096643779752776,0.0004164819643646479,0.00025743000306480097,0.0002613123098015785
60,0.0007956930550746619,0.0008060203189775348,0.001011542205028236,0.0010251399781927466,0.00023747037529712542,0.00024024877213640137
70,0.0009618097545206547,0.0009672829084470868,0.0010690761244669556,0.0010737264223583043,0.00021783707399619743,0.0002202631806122372
80,0.0003404051413037814,0.0003448026082990691,0.0003355492503219284,0.00034031111204996706,0.00023285847884137184,0.00023598836718127133
90,0.0002938659603660926,0.00029774612431414426,0.00035103153311647476,0.00035507586712017655,0.00019541715450701304,0.0001974394888104871
100,0.000365017935205251,0.0003689617733284831,0.0003558732457086444,0.00036015916073694825,0.000185853260140575,0.0001872232890466694
110,0.00047548553604632613,0.0004778256111964583,0.00027933552669361236,0.0002831406260188669,0.00018104309010086582,0.00018216230273013933
120,0.00037953041513916105,0.0003837569312751293,0.000374230486289598,0.0003784621305763721,0.00017465958076529205,0.0001755483638937585
130,0.00026504443518817427,0.00026857690377160906,0.0002513432296086103,0.0002546175721846521,0.0001649091761087766,0.00016575493484036996
140,0.0002200995494320523,0.00022286388468521182,0.0003575604400737211,0.00036042027595918624,0.00016219063312542857,0.0001629274614312453
150,0.00029724969009403137,0.000301014336370863,0.0003078843885310926,0.00031176870598923417,0.00015691689706771286,0.00015831556065531915
160,0.00021729044070700185,0.00022005231986986474,0.00024008362498832865,0.00024320475888554938,0.00016586617680237396,0.00016672537344158628
170,0.00019507610740140082,0.00019669398457277567,0.0002078772023646161,0.00021009626873303206,0.0001528250632912386,0.0001531394004379399
180,0.00018237103833584114,0.00018423306121956556,0.00018709671106771565,0.00018914068115176633,0.00014877080695761832,0.00014943883304600604
190,0.00036275633925572035,0.0003637706446601078,0.00042183371828868985,0.0004230351245030761,0.000143494902147213,0.00014368723030929687
200,0.00017843611909542232,0.0001800301816634601,0.00019473203074885532,0.00019648678352707065,0.00014255853262206073,0.00014292459469317692
210,0.00017721329365856945,0.00017825268771732227,0.00019004237364511937,0.00019130500108469279,0.00013641756609547882,0.00013675296920613619
220,0.00017721293128910475,0.00017812343896832317,0.00016501572821551235,0.00016619001184822992,0.00013338607249766937,0.00013357476964010858
230,0.0001583502024668269,0.00015916788300033657,0.00016328156786737962,0.00016421790455002337,0.00013266205808147788,0.0001326457070908509
240,0.00015304624141717794,0.00015372218273347244,0.000162554861336248,0.0001634161757887341,0.00012849600029032446,0.00012823635470937005
250,0.00016102116349211429,0.00016126065925171134,0.00015417572121776175,0.00015469012731133262,0.00012648913458877359,0.0001262303158818395
260,0.0001430566432350315,0.00014348450784978922,0.0001498744364659069,0.00015048435365781188,0.00012479235013597645,0.0001246757434954634
270,0.00013938665687426692,0.00013973196716688107,0.00014721603412850526,0.000147738711113343,0.00012363747329334729,0.0001234490746090887
280,0.00013786961281664844,0.0001382457591901766,0.00014600045415776548,0.0001465482863446232,0.00012271597314000247,0.00012248310463270173
290,0.0001371799220101093,0.0001374774765735492,0.000145071680455585,0.00014554822423495353,0.0001220717046271602,0.00012186282002046937
300,0.0001366681238685851,0.00013697421786484484,0.000144740505910886,0.0001452098152205872,0.00012194254653601093,0.00012172575112410414
